what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1463449646242
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1463449646242
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1463449646246
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1463449646246
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1463449646256
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1463449646256
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1463449646265
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1463449646269
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1463449646273
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1463449646282
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1463449646283
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1463449646284
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1463449646291
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1463449646296
started,bundle,org.sonar.ide.eclipse.core,2.3.0.20111209-1529,"org.sonar.ide.eclipse.core",1463449646296
started,bundle,org.sonar.ide.eclipse.mylyn.core,2.3.0.20111209-1529,"org.sonar.ide.eclipse.mylyn.core",1463449646296
started,bundle,org.sonar.ide.eclipse.mylyn.ui,2.3.0.20111209-1529,"org.sonar.ide.eclipse.mylyn.ui",1463449646297
started,bundle,org.sonar.ide.eclipse.runtime,2.3.0.20111209-1529,"org.sonar.ide.eclipse.runtime",1463449646297
started,bundle,org.sonar.ide.eclipse.ui,2.3.0.20111209-1529,"org.sonar.ide.eclipse.ui",1463449646298
started,bundle,org.sonar.ide.eclipse.wsclient,2.3.0.20111209-1529,"org.sonar.ide.eclipse.wsclient",1463449646298
started,bundle,org.eclipse.m2e.logback.configuration,1.2.0.20120903-1050,"org.eclipse.m2e.logback.configuration",1463449646308
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1463449646308
started,bundle,org.tigris.subversion.subclipse.core,1.10.7,"org.tigris.subversion.subclipse.core",1463449646309
started,bundle,org.tigris.subversion.subclipse.ui,1.10.8,"org.tigris.subversion.subclipse.ui",1463449646310
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1463449646318
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1463449646326
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1463449646327
started,bundle,net.sf.jautodoc,1.12.0,"net.sf.jautodoc",1463449646329
os,sysinfo,,,"win32",1463449646336
arch,sysinfo,,,"x86",1463449646336
ws,sysinfo,,,"win32",1463449646336
locale,sysinfo,,,"zh_CN",1463449646336
processors,sysinfo,,,"4",1463449646336
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1463449646336
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1463449646336
java.specification.name,sysinfo,,,"Java Platform API Specification",1463449646336
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1463449646336
java.specification.version,sysinfo,,,"1.6",1463449646336
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1463449646336
java.version,sysinfo,,,"1.6.0_25",1463449646336
java.vm.info,sysinfo,,,"mixed mode, sharing",1463449646336
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1463449646336
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1463449646336
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1463449646336
java.vm.specification.version,sysinfo,,,"1.0",1463449646336
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1463449646336
java.vm.version,sysinfo,,,"20.0-b11",1463449646336
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1463449647346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449648011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449649387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449653902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449690172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1463449690186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1463449690186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449693121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449857334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1463449857348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1463449857348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449860696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449912443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449913799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449915027
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463449915105
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1463449915395
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1463449915396
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.postgresql.ui",1463449915396
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sqlite.ui",1463449915397
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1463449915398
stopped,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1463449915399
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201004070709,"org.eclipse.datatools.connectivity.db.generic.ui",1463449915399
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201007080903,"org.eclipse.datatools.connectivity.apache.derby.ui",1463449915399
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1463449915400
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111150,"org.eclipse.datatools.enablement.sybase.asa.ui",1463449915401
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1463449915401
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090458,"org.eclipse.datatools.enablement.sybase.ui",1463449915402
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1463449915402
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201009280455,"org.eclipse.datatools.connectivity.sqm.server.ui",1463449915403
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.1.v201002270530,"org.eclipse.datatools.sqltools.ddlgen.ui",1463449915403
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1463449915403
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1463449915404
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1463449915404
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.1.v201004060545,"org.eclipse.datatools.sqltools.routineeditor.ui",1463449915405
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.3.v201009131745,"org.eclipse.datatools.sqltools.sqlbuilder",1463449915405
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.debugger.core",1463449915406
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1463449915406
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1463449915407
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook",1463449915407
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor",1463449915409
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1463449915409
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1463449915411
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1463449915413
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1463449915414
